Found 3188 unique RGB values that are not white, green, or black:
 216. RGB(np.uint8(255), np.uint8(220), np.uint8(185)) - appears     74 times
 217. RGB(np.uint8(252), np.uint8(222), np.uint8(185)) - appears     74 times
 218. RGB(np.uint8(253), np.uint8(208), np.uint8(159)) - appears     74 times
 219. RGB(np.uint8(220), np.uint8(166), np.uint8(112)) - appears     74 times
 220. RGB(np.uint8(255), np.uint8(203), np.uint8(153)) - appears     73 times
 221. RGB(np.uint8(253), np.uint8(198), np.uint8(139)) - appears     72 times
 222. RGB(np.uint8(254), np.uint8(209), np.uint8(160)) - appears     71 times
 223. RGB(np.uint8(254), np.uint8(220), np.uint8(184)) - appears     70 times
 224. RGB(np.uint8(254), np.uint8(227), np.uint8(200)) - appears     69 times
 225. RGB(np.uint8(252), np.uint8(229), np.uint8(195)) - appears     67 times
 226. RGB(np.uint8(255), np.uint8(189), np.uint8(126)) - appears     66 times
 227. RGB(np.uint8(254), np.uint8(212), np.uint8(171)) - appears     65 times
 228. RGB(np.uint8(252), np.uint8(190), np.uint8(123)) - appears     65 times
 229. RGB(np.uint8(255), np.uint8(204), np.uint8(149)) - appears     63 times
 230. RGB(np.uint8(255), np.uint8(215), np.uint8(175)) - appears     63 times
 231. RGB(np.uint8(254), np.uint8(199), np.uint8(140)) - appears     62 times
 232. RGB(np.uint8(220), np.uint8(169), np.uint8(114)) - appears     62 times
 233. RGB(np.uint8(253), np.uint8(210), np.uint8(167)) - appears     61 times
 234. RGB(np.uint8(253), np.uint8(220), np.uint8(179)) - appears     61 times
 235. RGB(np.uint8(251), np.uint8(187), np.uint8(123)) - appears     61 times
 236. RGB(np.uint8(219), np.uint8(169), np.uint8(116)) - appears     59 times
 237. RGB(np.uint8(219), np.uint8(168), np.uint8(112)) - appears     59 times
 238. RGB(np.uint8(252), np.uint8(197), np.uint8(142)) - appears     58 times
 239. RGB(np.uint8(255), np.uint8(214), np.uint8(168)) - appears     57 times
 240. RGB(np.uint8(252), np.uint8(198), np.uint8(143)) - appears     57 times
 241. RGB(np.uint8(252), np.uint8(206), np.uint8(154)) - appears     55 times
 242. RGB(np.uint8(253), np.uint8(212), np.uint8(168)) - appears     55 times
 243. RGB(np.uint8(251), np.uint8(190), np.uint8(121)) - appears     52 times
 244. RGB(np.uint8(216), np.uint8(169), np.uint8(115)) - appears     52 times
 245. RGB(np.uint8(255), np.uint8(219), np.uint8(180)) - appears     51 times
 246. RGB(np.uint8(216), np.uint8(171), np.uint8(124)) - appears     49 times
 247. RGB(np.uint8(218), np.uint8(166), np.uint8(116)) - appears     49 times
 248. RGB(np.uint8(255), np.uint8(211), np.uint8(164)) - appears     48 times
 249. RGB(np.uint8(111), np.uint8(87), np.uint8(61)) - appears     48 times
 250. RGB(np.uint8(251), np.uint8(188), np.uint8(121)) - appears     48 times
 251. RGB(np.uint8(217), np.uint8(165), np.uint8(113)) - appears     47 times
 252. RGB(np.uint8(255), np.uint8(190), np.uint8(131)) - appears     46 times
 253. RGB(np.uint8(252), np.uint8(229), np.uint8(193)) - appears     46 times
 254. RGB(np.uint8(251), np.uint8(193), np.uint8(131)) - appears     46 times
 255. RGB(np.uint8(221), np.uint8(169), np.uint8(117)) - appears     46 times
 256. RGB(np.uint8(165), np.uint8(132), np.uint8(99)) - appears     46 times
 257. RGB(np.uint8(252), np.uint8(206), np.uint8(156)) - appears     45 times
 258. RGB(np.uint8(253), np.uint8(213), np.uint8(175)) - appears     45 times
 259. RGB(np.uint8(253), np.uint8(211), np.uint8(163)) - appears     45 times
 260. RGB(np.uint8(221), np.uint8(167), np.uint8(112)) - appears     45 times
 261. RGB(np.uint8(253), np.uint8(217), np.uint8(177)) - appears     44 times
 262. RGB(np.uint8(250), np.uint8(195), np.uint8(136)) - appears     43 times
 263. RGB(np.uint8(251), np.uint8(194), np.uint8(140)) - appears     43 times
 264. RGB(np.uint8(254), np.uint8(196), np.uint8(134)) - appears     42 times
 265. RGB(np.uint8(218), np.uint8(167), np.uint8(112)) - appears     41 times
 266. RGB(np.uint8(255), np.uint8(209), np.uint8(163)) - appears     40 times
 267. RGB(np.uint8(253), np.uint8(228), np.uint8(197)) - appears     39 times
 268. RGB(np.uint8(253), np.uint8(228), np.uint8(198)) - appears     39 times
 269. RGB(np.uint8(255), np.uint8(193), np.uint8(134)) - appears     38 times
 270. RGB(np.uint8(255), np.uint8(223), np.uint8(188)) - appears     38 times
 271. RGB(np.uint8(254), np.uint8(223), np.uint8(192)) - appears     38 times
 272. RGB(np.uint8(253), np.uint8(199), np.uint8(147)) - appears     37 times
 273. RGB(np.uint8(254), np.uint8(186), np.uint8(120)) - appears     36 times
 274. RGB(np.uint8(252), np.uint8(206), np.uint8(157)) - appears     36 times
 275. RGB(np.uint8(255), np.uint8(195), np.uint8(134)) - appears     36 times
 276. RGB(np.uint8(252), np.uint8(197), np.uint8(138)) - appears     36 times
 277. RGB(np.uint8(220), np.uint8(168), np.uint8(118)) - appears     36 times
 278. RGB(np.uint8(252), np.uint8(229), np.uint8(197)) - appears     35 times
 279. RGB(np.uint8(253), np.uint8(224), np.uint8(194)) - appears     34 times
 280. RGB(np.uint8(254), np.uint8(194), np.uint8(131)) - appears     33 times
 281. RGB(np.uint8(221), np.uint8(164), np.uint8(118)) - appears     32 times
 282. RGB(np.uint8(219), np.uint8(167), np.uint8(119)) - appears     32 times
 283. RGB(np.uint8(255), np.uint8(202), np.uint8(148)) - appears     31 times
 284. RGB(np.uint8(228), np.uint8(195), np.uint8(162)) - appears     31 times
 285. RGB(np.uint8(252), np.uint8(218), np.uint8(180)) - appears     31 times
 286. RGB(np.uint8(226), np.uint8(190), np.uint8(150)) - appears     31 times
 287. RGB(np.uint8(138), np.uint8(104), np.uint8(66)) - appears     31 times
 288. RGB(np.uint8(250), np.uint8(194), np.uint8(135)) - appears     30 times
 289. RGB(np.uint8(254), np.uint8(201), np.uint8(143)) - appears     30 times
 290. RGB(np.uint8(255), np.uint8(209), np.uint8(167)) - appears     30 times
 291. RGB(np.uint8(208), np.uint8(192), np.uint8(169)) - appears     30 times
 292. RGB(np.uint8(255), np.uint8(227), np.uint8(193)) - appears     29 times
 293. RGB(np.uint8(165), np.uint8(132), np.uint8(97)) - appears     29 times
 294. RGB(np.uint8(221), np.uint8(175), np.uint8(126)) - appears     29 times
 295. RGB(np.uint8(255), np.uint8(195), np.uint8(138)) - appears     29 times
 296. RGB(np.uint8(254), np.uint8(186), np.uint8(121)) - appears     28 times
 297. RGB(np.uint8(182), np.uint8(147), np.uint8(99)) - appears     28 times
 298. RGB(np.uint8(255), np.uint8(201), np.uint8(149)) - appears     28 times
 299. RGB(np.uint8(255), np.uint8(215), np.uint8(171)) - appears     28 times
 300. RGB(np.uint8(255), np.uint8(215), np.uint8(174)) - appears     28 times
 301. RGB(np.uint8(255), np.uint8(218), np.uint8(177)) - appears     28 times
 302. RGB(np.uint8(253), np.uint8(228), np.uint8(195)) - appears     28 times
 303. RGB(np.uint8(255), np.uint8(208), np.uint8(166)) - appears     28 times
 304. RGB(np.uint8(255), np.uint8(213), np.uint8(164)) - appears     28 times
 305. RGB(np.uint8(228), np.uint8(194), np.uint8(156)) - appears     28 times
 306. RGB(np.uint8(251), np.uint8(195), np.uint8(133)) - appears     28 times
 307. RGB(np.uint8(220), np.uint8(166), np.uint8(114)) - appears     28 times
 308. RGB(np.uint8(227), np.uint8(170), np.uint8(117)) - appears     28 times
 309. RGB(np.uint8(254), np.uint8(189), np.uint8(122)) - appears     28 times
 310. RGB(np.uint8(252), np.uint8(222), np.uint8(186)) - appears     27 times
 311. RGB(np.uint8(255), np.uint8(213), np.uint8(168)) - appears     27 times
 312. RGB(np.uint8(221), np.uint8(175), np.uint8(123)) - appears     27 times
 313. RGB(np.uint8(252), np.uint8(193), np.uint8(135)) - appears     26 times
 314. RGB(np.uint8(255), np.uint8(208), np.uint8(160)) - appears     26 times
 315. RGB(np.uint8(253), np.uint8(206), np.uint8(160)) - appears     26 times
 316. RGB(np.uint8(254), np.uint8(223), np.uint8(194)) - appears     26 times
 317. RGB(np.uint8(251), np.uint8(203), np.uint8(139)) - appears     25 times
 318. RGB(np.uint8(255), np.uint8(204), np.uint8(146)) - appears     25 times
 319. RGB(np.uint8(255), np.uint8(223), np.uint8(186)) - appears     25 times
 320. RGB(np.uint8(255), np.uint8(204), np.uint8(152)) - appears     25 times
 321. RGB(np.uint8(82), np.uint8(65), np.uint8(57)) - appears     25 times
 322. RGB(np.uint8(216), np.uint8(169), np.uint8(117)) - appears     25 times
 323. RGB(np.uint8(254), np.uint8(193), np.uint8(138)) - appears     24 times
 324. RGB(np.uint8(224), np.uint8(186), np.uint8(145)) - appears     24 times
